customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C-00001,Male,0,No,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,33.32,1872.44,No
C-00002,Female,0,No,No,26,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,51.08,1332.42,No
C-00003,Male,1,Yes,No,4,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,64.27,265.35,No
C-00004,Male,0,No,No,70,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,100.8,7047.54,Yes
C-00005,Male,0,No,No,56,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),104.6,5857.78,Yes
C-00006,Female,0,No,Yes,14,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,54.28,764.05,No
C-00007,Male,0,No,No,29,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,74.69,2160.16,Yes
C-00008,Male,1,Yes,No,19,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,93.87,1780.07,No
C-00009,Male,0,No,Yes,36,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,95.13,3423.06,No
C-00010,Female,0,Yes,No,2,No,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,49.96,105.81,No
C-00011,Male,0,No,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),27.4,1972.67,No
C-00012,Male,1,Yes,No,40,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),73.42,2936.66,No
C-00013,Male,1,Yes,No,38,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,94.35,3583.92,Yes
C-00014,Male,0,Yes,No,25,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,66.75,1663.32,No
C-00015,Female,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),28.9,37.36,No
C-00016,Male,1,Yes,Yes,22,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,51.96,1139.48,No
C-00017,Female,0,No,Yes,22,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,40.3,887.95,No
C-00018,Female,0,Yes,No,15,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),63.83,950.43,No
C-00019,Female,1,Yes,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.62,227.64,Yes
C-00020,Male,0,No,No,12,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,44.19,538.36,Yes
